blink_signal_energy_mean_EEG-E8,blink_signal_energy_std_EEG-E8,blink_signal_energy_cv_EEG-E8,teager_kaiser_energy_mean_EEG-E8,teager_kaiser_energy_std_EEG-E8,teager_kaiser_energy_cv_EEG-E8,blink_line_length_mean_EEG-E8,blink_line_length_std_EEG-E8,blink_line_length_cv_EEG-E8,blink_velocity_integral_mean_EEG-E8,blink_velocity_integral_std_EEG-E8,blink_velocity_integral_cv_EEG-E8
2.6720325890515966e-09,0.0,0.0,2.06181562280463e-10,0.0,0.0,0.00028732290031573224,0.0,0.0,0.0002339374159220179,0.0,0.0
2.1076375907366016e-09,0.0,0.0,1.2218241145252954e-10,0.0,0.0,0.0002557984596196864,0.0,0.0,0.00022499748680949444,0.0,0.0
,,,,,,,,,,,
1.3373737662501088e-09,5.679735004784855e-10,0.4246931671697424,1.315975540687991e-10,4.6029100291442774e-11,0.34977170067597757,0.0002249606285962352,8.909938781085326e-05,0.39606658448119386,0.00016861809877644716,7.492762309664067e-05,0.44436287468748686
1.1178290697671113e-09,7.384988707118722e-10,0.6606545586309821,1.3883866692481023e-10,7.876539056009227e-11,0.5673159524266292,0.00022933042269656376,0.00011023546937284917,0.4806840194887973,0.00017272118259939307,8.550742989770314e-05,0.4950604703537017
,,,,,,,,,,,
,,,,,,,,,,,
1.7430943445300856e-09,1.4353394521972913e-09,0.8234433533109989,2.0961373113980084e-10,1.819705085762207e-10,0.8681230355794601,0.00028614314816225833,0.00018126748793466512,0.6334853345217158,0.00022445882667695857,0.0001409640556300315,0.628017430710832
,,,,,,,,,,,
2.2989002595961356e-09,1.0943949102214351e-09,0.4760514970813459,2.11680206667123e-10,1.0340461332383462e-10,0.4884944839762142,0.00028232943600287855,9.460885270623335e-05,0.33510091631135747,0.00022406349231121015,7.871297809366356e-05,0.3512976490803605
1.9528683514127786e-09,2.4969295560205656e-10,0.1278595945402153,2.2115410364450801e-10,7.684799232297199e-11,0.34748616940204075,0.00030442833122364544,3.5855171636429836e-05,0.1177786952098396,0.0002343307151450859,3.6701932588112576e-05,0.15662450637505446
1.8135616028546758e-09,1.0436653455440671e-09,0.5754782985597309,2.1277923811518102e-10,1.0045813528381346e-10,0.47212376627382113,0.0002995442628632966,0.00013283329508411964,0.44345130771121105,0.0002278813177312579,9.977453867994899e-05,0.437835535063975
2.389915039108967e-09,0.0,0.0,1.8724801714614745e-10,0.0,0.0,0.0002672405534340237,0.0,0.0,0.00021881437864679348,0.0,0.0
3.5753547862294284e-09,5.776389004591325e-09,1.6156128132624032,3.160756194668588e-10,3.558439148139882e-10,1.1258189271738475,0.0005067440432825206,0.0003690782802770893,0.7283327454355892,0.000365369078938365,0.00026875298917531954,0.7355657735356859
